MeterNo,MeterType,LONG,LAT,Status,Borough
4522508,Strada,-73.8475447894,40.709875988,Active,Queens
4522507,Strada,-73.8488008968,40.7100706299,Active,Queens
4522506,Strada,-73.8490458232,40.7100017406,Active,Queens
4522505,Strada,-73.8491636011,40.7099801242,Active,Queens
4522504,Strada,-73.8494579912,40.7101848863,Active,Queens
4522503,Strada,-73.8502595182,40.7103112992,Retired,Queens
4522502,Strada,-73.851506288,40.7105091412,Retired,Queens
4361748,Strada,-73.8846384154,40.7015792429,Active,Queens
4361747,Strada,-73.885726332,40.7014880472,Active,Queens
4361746,Strada,-73.8863851768,40.7014302724,Active,Queens
4361745,Strada,-73.8876377485,40.7013257197,Active,Queens
4361763,Strada,-73.8888595562,40.7013208509,Active,Queens
4361744,Strada,-73.88814754,40.7012832104,Active,Queens
4361743,Strada,-73.889278899,40.7011877541,Active,Queens
4361742,Strada,-73.8898590325,40.7011377541,Active,Queens
4152137,Strada,-73.9542133352,40.7434414665,Active,Queens
4152138,Strada,-73.9540822752,40.7435009729,Active,Queens
4152145,Strada,-73.9537093442,40.7448187469,Active,Queens
4152136,Strada,-73.9541076689,40.7429516468,Active,Queens
4152134,Strada,-73.9535987601,40.7444748169,Active,Queens
4151985,Strada,-73.9326229387,40.742781721,Active,Queens
4151981,Strada,-73.9325069117,40.74264816,Active,Queens
4122378,Strada,-73.8815322862,40.7498342615,Active,Queens
4122380,Strada,-73.8814315746,40.749840266,Active,Queens
4122377,Strada,-73.8812346124,40.7481723225,Active,Queens
4122379,Strada,-73.881131694,40.7481709511,Active,Queens
4122383,Strada,-73.8821648201,40.7480620896,Active,Queens
4122384,Strada,-73.8824585686,40.7497026829,Active,Queens
4122382,Strada,-73.8820603328,40.7480775785,Active,Queens
4122381,Strada,-73.8823627921,40.7497659799,Active,Queens
4122387,Strada,-73.8832897539,40.7496520317,Active,Queens
4122340,Strada,-73.8824321299,40.7478522646,Active,Queens
4122339,Strada,-73.8816335769,40.7479361628,Active,Queens
4122338,Strada,-73.8806660835,40.7480372676,Active,Queens
4122308,Strada,-73.8830032326,40.7474553731,Active,Queens
4122306,Strada,-73.8832519906,40.7467709798,Inactive,Queens
4122305,Strada,-73.8835246447,40.7465090552,Inactive,Queens
4122303,Strada,-73.8837453449,40.746989986,Inactive,Queens
4122304,Strada,-73.8837958636,40.7465501383,Active,Queens
4122299,Strada,-73.8847622771,40.7473189402,Active,Queens
4413100,Strada,-73.8845328421,40.7460250517,Active,Queens
4122300,Strada,-73.884868838,40.7473166361,Active,Queens
4122302,Strada,-73.8843071881,40.7475308344,Active,Queens
4122301,Strada,-73.8850629204,40.7474526192,Active,Queens
4122419,Strada,-73.891668681,40.7483450214,Active,Queens
4122418,Strada,-73.891533808,40.7476400659,Active,Queens
4122417,Strada,-73.8917759879,40.7483567343,Active,Queens
4122416,Strada,-73.8916590866,40.7477639306,Active,Queens
4451773,Strada,-73.849607016,40.7321326596,Active,Queens
4451772,Strada,-73.8497547065,40.7321742299,Active,Queens
4451774,Strada,-73.8491860969,40.7315763065,Active,Queens
4451771,Strada,-73.8500134109,40.7327758239,Active,Queens
4451770,Strada,-73.8499695948,40.7328778621,Active,Queens
4451769,Strada,-73.8502721123,40.7334656455,Active,Queens
4451768,Strada,-73.8502227354,40.733567292,Active,Queens
4451767,Strada,-73.8501672947,40.7338443435,Active,Queens
4061159,Strada,-73.8223599876,40.7573327859,Active,Queens
4061158,Strada,-73.8227583182,40.7576593145,Inactive,Queens
4061155,Strada,-73.8225223338,40.7540059074,Active,Queens
4061156,Strada,-73.822430822,40.7541741468,Active,Queens
4061154,Strada,-73.8223487593,40.7536240525,Active,Queens
4061153,Strada,-73.821836363,40.753228422,Active,Queens
4061152,Strada,-73.8213633187,40.7528460255,Active,Queens
4061148,Strada,-73.8224530353,40.7534929049,Active,Queens
4061151,Strada,-73.8187552745,40.7503810368,Active,Queens
4061149,Strada,-73.8185839339,40.7500215932,Active,Queens
4152021,Strada,-73.9461314974,40.7421672105,Active,Queens
4152020,Strada,-73.9455162476,40.7424128,Active,Queens
4152019,Strada,-73.9448840858,40.7426645638,Active,Queens
4152018,Strada,-73.9437648458,40.7431081258,Active,Queens
4152017,Strada,-73.9432121587,40.7433295621,Active,Queens
4152016,Strada,-73.94256382,40.7435898438,Active,Queens
4152015,Strada,-73.9419161427,40.7438476889,Active,Queens
4152014,Strada,-73.9412692351,40.7441023502,Active,Queens
4152013,Strada,-73.9406171818,40.744360718,Active,Queens
4152012,Strada,-73.9399246715,40.7445853388,Active,Queens
4152011,Strada,-73.939254732,40.7448022158,Active,Queens
4152010,Strada,-73.9385816726,40.7450195518,Active,Queens
4181690,Strada,-73.9063891416,40.7730087335,Active,Queens
4181689,Strada,-73.9071475926,40.773547995,Active,Queens
4181686,Strada,-73.9077229752,40.7739566347,Active,Queens
